"avg_rt","datetime","eye_image_reach_file","eye_image_reach_time","eye_image_touch1_file","eye_image_touch1_time","eye_image_touch2_file","eye_image_touch2_time","eye_move","fix_x","land_x","land_y","reach_duration","subject_nr","targ_x","targ_y","target_onset","targets_file","time_touch_offset","touch_x","valid_trial_count","void_trial"
"311.87915802","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_1_reach.png","0.0519752502441","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_1_touch1.png","0.0741481781006","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_1_touch2.png","0.0419616699219","0","-900","523","-6","483.386993408","102","524","0","350","pointingTask_targets_radial7_right.csv","416.754961014","-943","1","0"
"261.836051941","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_2_reach.png","0.0448226928711","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_2_touch1.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_2_touch2.png","0.0648498535156","0","-900","729","-170","400.108098984","102","728","-200","550","pointingTask_targets_radial7_right.csv","367.577791214","-943","2","0"
"252.849340439","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_3_reach.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_3_touch1.png","0.0629425048828","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_3_touch2.png","0.0369548797607","0","-900","308","147","383.414983749","102","300","147","350","pointingTask_targets_radial7_right.csv","366.605043411","-943","3","0"
"247.400045395","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_4_reach.png","0.0700950622559","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_4_touch1.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_4_touch2.png","0.068187713623","0","-900","288","133","397.446155548","102","300","147","450","pointingTask_targets_radial7_right.csv","367.161989212","-943","4","0"
"233.283233643","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_5_reach.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_5_touch1.png","0.0388622283936","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_5_touch2.png","0.0720024108887","0","-900","500","-143","450.679063797","102","514","-174","350","pointingTask_targets_radial7_right.csv","383.060932159","-943","5","0"
"229.206681252","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_6_reach.png","0.0391006469727","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_6_touch1.png","0.0789165496826","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_6_touch2.png","0.0638961791992","0","-900","727","19","384.629964828","102","740","0","350","pointingTask_targets_radial7_right.csv","416.04590416","-943","6","0"
"223.297561918","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_7_reach.png","0.0379085540771","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_7_touch1.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_7_touch2.png","0.0431537628174","0","-900","515","178","399.749994278","102","514","174","650","pointingTask_targets_radial7_right.csv","368.007898331","-943","7","0"
"222.346872091","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_8_reach.png","0.0441074371338","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_8_touch1.png","0.0379085540771","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_8_touch2.png","0.0550746917725","0","-900","287","-135","365.791082382","102","300","-147","450","pointingTask_targets_radial7_right.csv","367.583036423","-943","8","0"
"218.579557207","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_9_reach.png","0.0438690185547","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_9_touch1.png","0.0550746917725","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_9_touch2.png","0.128030776978","0","-900","726","14","418.684005737","102","740","0","450","pointingTask_targets_radial7_right.csv","416.439056396","-943","9","0"
"214.262008667","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_10_reach.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_10_touch1.png","0.0820159912109","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_10_touch2.png","0.0400543212891","0","-900","334","-3","320.136070251","102","309","0","650","pointingTask_targets_radial7_right.csv","396.393060684","-943","10","0"
"217.770186338","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_11_reach.png","0.0689029693604","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_11_touch1.png","0.0388622283936","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_11_touch2.png","0.0541210174561","0","-900","516","9","332.992076874","102","524","0","650","pointingTask_targets_radial7_right.csv","383.605957031","-943","11","0"
"215.17799298","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_12_reach.png","0.0569820404053","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_12_touch1.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_12_touch2.png","0.0379085540771","0","-900","708","218","482.609987259","102","728","200","350","pointingTask_targets_radial7_right.csv","433.219194412","-943","12","0"
"209.981221419","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_13_reach.png","0.0381469726562","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_13_touch1.png","0.0638961791992","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_13_touch2.png","0.0629425048828","0","-900","716","211","401.062011719","102","728","200","750","pointingTask_targets_radial7_right.csv","399.733066559","-943","13","0"
"207.027503422","Wed 11 Sep 2019 14:36:00 BST","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_14_reach.png","0.0410079956055","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_14_touch1.png","0.0739097595215","subject102_pointingTask_CLfree_right_2019-09-11T14:36:07_14_touch2.png","0.0560283660889","0","-900","729","24","382.90309906","102","740","0","750","pointingTask_targets_radial7_right.csv","367.100000381","-943","14","0"
