average_response_time,catch,count_trial_sequence,eye_image_target_file,eye_image_target_time,eye_image_touch1_file,eye_image_touch1_time,feedback_time,logfile,subject_nr,targ_x,targ_y,target_time,total_correct_rejection,total_eye_move,total_false_alarm,total_miss,total_targets_identified,touch_x
374.09091,0,0,subject102_visualDetection_left_2019-09-11T14:55:04_1_target.png,0.161886215,subject102_visualDetection_left_2019-09-11T14:55:04_1_touch1.png,0.081777573,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-309,0,551.1620045,0,0,0,0,1,857
567.6934719,0,1,subject102_visualDetection_left_2019-09-11T14:55:04_2_target.png,0.041007996,subject102_visualDetection_left_2019-09-11T14:55:04_2_touch1.png,0.149965286,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-514,-174,253.4580231,0,0,0,0,2,857
621.8516032,0,2,subject102_visualDetection_left_2019-09-11T14:55:04_3_target.png,0.042200089,subject102_visualDetection_left_2019-09-11T14:55:04_3_touch1.png,0.050067902,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-300,-147,265.2349472,0,0,0,0,3,857
608.0532074,0,3,subject102_visualDetection_left_2019-09-11T14:55:04_4_target.png,0.043153763,subject102_visualDetection_left_2019-09-11T14:55:04_4_touch1.png,0.066995621,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-728,200,764.6708488,0,0,0,0,4,857
555.9837341,0,4,subject102_visualDetection_left_2019-09-11T14:55:04_5_target.png,0.055074692,subject102_visualDetection_left_2019-09-11T14:55:04_5_touch1.png,0.043153763,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-300,147,565.9320354,0,0,0,0,5,857
544.9430943,0,5,subject102_visualDetection_left_2019-09-11T14:55:04_6_target.png,0.050067902,subject102_visualDetection_left_2019-09-11T14:55:04_6_touch1.png,0.078201294,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-514,174,266.2041187,0,0,0,0,6,857
685.5564799,1,6,subject102_visualDetection_left_2019-09-11T14:55:04_7_target.png,0.041007996,subject102_visualDetection_left_2019-09-11T14:55:04_7_touch1.png,0.060081482,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,0,0,650.5610943,1,0,0,0,6,857
647.8542686,0,7,subject102_visualDetection_left_2019-09-11T14:55:04_8_target.png,0.234127045,subject102_visualDetection_left_2019-09-11T14:55:04_8_touch1.png,0.104904175,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-740,0,450.9561062,1,0,0,0,7,857
624.629471,0,8,subject102_visualDetection_left_2019-09-11T14:55:04_9_target.png,0.041007996,subject102_visualDetection_left_2019-09-11T14:55:04_9_touch1.png,0.123977661,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-524,0,254.1110516,1,0,0,0,8,857
627.3781061,1,9,subject102_visualDetection_left_2019-09-11T14:55:04_10_target.png,0.041007996,subject102_visualDetection_left_2019-09-11T14:55:04_10_touch1.png,0.035047531,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,0,0,665.8418179,2,0,0,0,8,857
628.7661682,1,10,subject102_visualDetection_left_2019-09-11T14:55:04_11_target.png,0.041007996,subject102_visualDetection_left_2019-09-11T14:55:04_11_touch1.png,0.062942505,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,0,0,664.9649143,2,0,1,0,8,857
646.3290652,1,11,subject102_visualDetection_left_2019-09-11T14:55:04_12_target.png,0.040054321,subject102_visualDetection_left_2019-09-11T14:55:04_12_touch1.png,0.04196167,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,0,0,666.1469936,3,0,1,0,8,857
655.0405209,1,12,subject102_visualDetection_left_2019-09-11T14:55:04_13_target.png,0.072002411,subject102_visualDetection_left_2019-09-11T14:55:04_13_touch1.png,0.04696846,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,0,0,766.1979198,4,0,1,0,8,857
648.028561,0,13,subject102_visualDetection_left_2019-09-11T14:55:04_14_target.png,0.049829483,subject102_visualDetection_left_2019-09-11T14:55:04_14_touch1.png,0.050067902,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,-728,-200,466.9268131,4,0,1,0,9,857
647.9308605,1,14,subject102_visualDetection_left_2019-09-11T14:55:04_15_target.png,0.054121017,subject102_visualDetection_left_2019-09-11T14:55:04_15_touch1.png,0.038146973,NA,/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv,102,0,0,766.5631771,5,0,1,0,9,857
