"avg_rt","datetime","eye_image_reach_file","eye_image_reach_time","eye_image_touch1_file","eye_image_touch1_time","eye_image_touch2_file","eye_image_touch2_time","eye_move","fix_x","land_x","land_y","reach_duration","subject_nr","targ_x","targ_y","target_onset","targets_file","time_touch_offset","touch_x","valid_trial_count","void_trial"
"156.702041626","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_1_reach.png","0.0441074371338","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_1_touch1.png","0.0619888305664","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_1_touch2.png","0.0360012054443","0","900","-687","130","216.173887253","102","-514","174","450","pointingTask_targets_radial7_left.csv","617.774963379","857","1","0"
"194.953083992","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_2_reach.png","0.0391006469727","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_2_touch1.png","0.0379085540771","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_2_touch2.png","0.0388622283936","0","900","-650","206","467.50497818","102","-728","200","450","pointingTask_targets_radial7_left.csv","532.837867737","857","2","0"
"190.516710281","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_3_reach.png","0.0410079956055","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_3_touch1.png","0.0388622283936","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_3_touch2.png","0.0400543212891","0","900","-510","-6","383.889198303","102","-524","0","450","pointingTask_targets_radial7_left.csv","466.906785965","857","3","0"
"201.309978962","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_4_reach.png","0.0379085540771","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_4_touch1.png","0.0481605529785","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_4_touch2.png","0.03981590271","0","900","-674","32","416.970014572","102","-740","0","350","pointingTask_targets_radial7_left.csv","449.60308075","857","4","0"
"200.501585007","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_5_reach.png","0.0391006469727","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_5_touch1.png","0.0691413879395","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_5_touch2.png","0.0500679016113","0","900","-584","-208","383.821964264","102","-514","-174","750","pointingTask_targets_radial7_left.csv","417.312860489","857","5","0"
"190.718809764","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_6_reach.png","0.0548362731934","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_6_touch1.png","0.0369548797607","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_6_touch2.png","0.0448226928711","0","900","-321","-183","383.131027222","102","-300","-147","250","pointingTask_targets_radial7_left.csv","632.556915283","857","6","0"
"179.217542921","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_7_reach.png","0.0550746917725","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_7_touch1.png","0.182867050171","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_7_touch2.png","0.203132629395","0","900","-678","-100","445.13297081","102","-728","-200","550","pointingTask_targets_radial7_left.csv","472.285032272","857","7","0"
"187.632590532","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_8_reach.png","0.0391006469727","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_8_touch1.png","0.0560283660889","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_8_touch2.png","0.0400543212891","0","900","-713","169","465.914011002","102","-728","200","650","pointingTask_targets_radial7_left.csv","382.540941238","857","8","0"
"181.937191221","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_9_reach.png","0.0400543212891","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_9_touch1.png","0.0369548797607","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_9_touch2.png","0.042200088501","0","900","-295","-172","400.511980057","102","-300","-147","550","pointingTask_targets_radial7_left.csv","366.216897964","857","9","0"
"179.061150551","Wed 11 Sep 2019 14:56:24 BST","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_10_reach.png","0.0429153442383","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_10_touch1.png","0.0388622283936","subject102_pointingTask_CLfix_left_2019-09-11T14:56:30_10_touch2.png","0.0388622283936","0","900","-598","148","416.506052017","102","-514","174","350","pointingTask_targets_radial7_left.csv","467.509031296","857","10","0"
