"avg_rt","datetime","eye_image_reach_file","eye_image_reach_time","eye_image_touch1_file","eye_image_touch1_time","eye_image_touch2_file","eye_image_touch2_time","eye_move","fix_x","land_x","land_y","reach_duration","subject_nr","targ_x","targ_y","target_onset","targets_file","time_touch_offset","touch_x","valid_trial_count","void_trial"
"72.1979141235","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_2_reach.png","0.0739097595215","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_2_touch1.png","0.0748634338379","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_2_touch2.png","0.0388622283936","0","-900","472","51","366.374015808","102","514","174","450","pointingTask_targets_radial7_right.csv","480.908155441","-943","1","0"
"98.7828969955","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_3_reach.png","0.0429153442383","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_3_touch1.png","0.0438690185547","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_3_touch2.png","0.0710487365723","0","-900","598","52","351.287126541","102","728","200","550","pointingTask_targets_radial7_right.csv","347.846031189","-943","2","0"
"119.707584381","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_4_reach.png","0.0400543212891","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_4_touch1.png","0.0369548797607","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_4_touch2.png","0.0760555267334","0","-900","320","-186","298.972845078","102","300","-147","350","pointingTask_targets_radial7_right.csv","383.229970932","-943","3","0"
"119.073450565","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_5_reach.png","0.0400543212891","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_5_touch1.png","0.0379085540771","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_5_touch2.png","0.0388622283936","0","-900","325","-179","299.298048019","102","300","-147","650","pointingTask_targets_radial7_right.csv","400.58016777","-943","4","0"
"166.83678627","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_6_reach.png","0.0429153442383","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_6_touch1.png","0.0789165496826","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_6_touch2.png","0.0410079956055","0","-900","343","-31","367.054224014","102","309","0","250","pointingTask_targets_radial7_right.csv","634.203910828","-943","5","0"
"162.143627803","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_7_reach.png","0.0388622283936","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_7_touch1.png","0.0741481781006","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_7_touch2.png","0.0410079956055","0","-900","596","-236","350.250959396","102","728","-200","450","pointingTask_targets_radial7_right.csv","433.001995087","-943","6","0"
"156.787259238","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_8_reach.png","0.0410079956055","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_8_touch1.png","0.042200088501","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_8_touch2.png","0.0548362731934","0","-900","524","109","333.177089691","102","514","174","250","pointingTask_targets_radial7_right.csv","566.80893898","-943","7","0"
"155.724078417","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_9_reach.png","0.0419616699219","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_9_touch1.png","0.0429153442383","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_9_touch2.png","0.0400543212891","0","-900","665","-6","317.495107651","102","740","0","450","pointingTask_targets_radial7_right.csv","483.512878418","-943","8","0"
"154.329511854","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_10_reach.png","0.113964080811","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_10_touch1.png","0.0581741333008","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_10_touch2.png","0.0510215759277","0","-900","279","-54","317.067861557","102","309","0","250","pointingTask_targets_radial7_right.csv","717.612981796","-943","9","0"
"153.601646423","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_11_reach.png","0.0410079956055","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_11_touch1.png","0.0438690185547","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_11_touch2.png","0.0650882720947","0","-900","551","-40","299.527168274","102","524","0","550","pointingTask_targets_radial7_right.csv","417.959928513","-943","10","0"
