"avg_rt","datetime","eye_image_reach_file","eye_image_reach_time","eye_image_touch1_file","eye_image_touch1_time","eye_image_touch2_file","eye_image_touch2_time","eye_move","fix_x","land_x","land_y","reach_duration","subject_nr","targ_x","targ_y","target_onset","targets_file","time_touch_offset","touch_x","valid_trial_count","void_trial"
"877.026081085","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_1_reach.png","0.0550746917725","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_1_touch1.png","0.0441074371338","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_1_touch2.png","0.0391006469727","0","900","-280","-136","465.502023697","102","-300","-147","250","pointingTask_targets_radial7_left.csv","416.520118713","857","1","0"
"532.732486725","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_2_reach.png","0.0660419464111","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_2_touch1.png","0.0410079956055","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_2_touch2.png","0.0369548797607","0","900","-731","-180","483.062982559","102","-728","-200","650","pointingTask_targets_radial7_left.csv","534.796953201","857","2","0"
"413.238366445","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_3_reach.png","0.0431537628174","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_3_touch1.png","0.06103515625","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_3_touch2.png","0.0431537628174","0","900","-300","179","399.173021317","102","-300","147","650","pointingTask_targets_radial7_left.csv","417.011976242","857","3","0"
"365.408778191","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_4_reach.png","0.20694732666","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_4_touch1.png","0.0450611114502","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_4_touch2.png","0.159978866577","0","900","-547","8","416.926860809","102","-524","0","450","pointingTask_targets_radial7_left.csv","434.205055237","857","4","0"
"335.779809952","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_5_reach.png","0.046968460083","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_5_touch1.png","0.0350475311279","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_5_touch2.png","0.0689029693604","0","900","-509","-149","432.631015778","102","-514","-174","250","pointingTask_targets_radial7_left.csv","432.850122452","857","5","0"
"311.315019925","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_6_reach.png","0.053882598877","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_6_touch1.png","0.0360012054443","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_6_touch2.png","0.0460147857666","0","900","-742","8","516.691923141","102","-740","0","450","pointingTask_targets_radial7_left.csv","350.630044937","857","6","0"
"297.813722066","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_7_reach.png","0.0770092010498","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_7_touch1.png","0.0379085540771","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_7_touch2.png","0.0710487365723","0","900","-519","19","483.170986176","102","-524","0","650","pointingTask_targets_radial7_left.csv","350.860118866","857","7","0"
"281.850874424","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_8_reach.png","0.0381469726562","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_8_touch1.png","0.0560283660889","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_8_touch2.png","0.0400543212891","0","900","-313","29","483.376026154","102","-309","0","350","pointingTask_targets_radial7_left.csv","366.33515358","857","8","0"
"273.600684272","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_9_reach.png","0.0391006469727","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_9_touch1.png","0.0479221343994","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_9_touch2.png","0.0648498535156","0","900","-677","-201","466.528177261","102","-728","-200","350","pointingTask_targets_radial7_left.csv","416.199922562","857","9","0"
"265.382027626","Wed 11 Sep 2019 14:51:17 BST","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_10_reach.png","0.0369548797607","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_10_touch1.png","0.0348091125488","subject102_pointingTask_CLfree_left_2019-09-11T14:51:23_10_touch2.png","0.0360012054443","0","900","-287","20","451.595067978","102","-309","0","750","pointingTask_targets_radial7_left.csv","332.917928696","857","10","0"
