"average_response_time","catch","count_trial_sequence","eye_image_target_file","eye_image_target_time","eye_image_touch1_file","eye_image_touch1_time","feedback_time","logfile","subject_nr","targ_x","targ_y","target_time","total_correct_rejection","total_eye_move","total_false_alarm","total_miss","total_targets_identified","touch_x"
"374.090909958","0","0","subject102_visualDetection_left_2019-09-11T14:55:04_1_target.png","0.16188621521","subject102_visualDetection_left_2019-09-11T14:55:04_1_touch1.png","0.0817775726318","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-309","0","551.162004471","0","0","0","0","1","857"
"567.693471909","0","1","subject102_visualDetection_left_2019-09-11T14:55:04_2_target.png","0.0410079956055","subject102_visualDetection_left_2019-09-11T14:55:04_2_touch1.png","0.149965286255","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-514","-174","253.458023071","0","0","0","0","2","857"
"621.85160319","0","2","subject102_visualDetection_left_2019-09-11T14:55:04_3_target.png","0.042200088501","subject102_visualDetection_left_2019-09-11T14:55:04_3_touch1.png","0.0500679016113","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-300","-147","265.234947205","0","0","0","0","3","857"
"608.053207397","0","3","subject102_visualDetection_left_2019-09-11T14:55:04_4_target.png","0.0431537628174","subject102_visualDetection_left_2019-09-11T14:55:04_4_touch1.png","0.0669956207275","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-728","200","764.670848846","0","0","0","0","4","857"
"555.983734131","0","4","subject102_visualDetection_left_2019-09-11T14:55:04_5_target.png","0.0550746917725","subject102_visualDetection_left_2019-09-11T14:55:04_5_touch1.png","0.0431537628174","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-300","147","565.932035446","0","0","0","0","5","857"
"544.943094254","0","5","subject102_visualDetection_left_2019-09-11T14:55:04_6_target.png","0.0500679016113","subject102_visualDetection_left_2019-09-11T14:55:04_6_touch1.png","0.0782012939453","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-514","174","266.204118729","0","0","0","0","6","857"
"685.556479863","1","6","subject102_visualDetection_left_2019-09-11T14:55:04_7_target.png","0.0410079956055","subject102_visualDetection_left_2019-09-11T14:55:04_7_touch1.png","0.0600814819336","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","650.561094284","1","0","0","0","6","857"
"647.854268551","0","7","subject102_visualDetection_left_2019-09-11T14:55:04_8_target.png","0.234127044678","subject102_visualDetection_left_2019-09-11T14:55:04_8_touch1.png","0.104904174805","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-740","0","450.956106186","1","0","0","0","7","857"
"624.629471037","0","8","subject102_visualDetection_left_2019-09-11T14:55:04_9_target.png","0.0410079956055","subject102_visualDetection_left_2019-09-11T14:55:04_9_touch1.png","0.123977661133","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-524","0","254.111051559","1","0","0","0","8","857"
"627.378106117","1","9","subject102_visualDetection_left_2019-09-11T14:55:04_10_target.png","0.0410079956055","subject102_visualDetection_left_2019-09-11T14:55:04_10_touch1.png","0.0350475311279","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","665.841817856","2","0","0","0","8","857"
"628.766168248","1","10","subject102_visualDetection_left_2019-09-11T14:55:04_11_target.png","0.0410079956055","subject102_visualDetection_left_2019-09-11T14:55:04_11_touch1.png","0.0629425048828","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","664.964914322","2","0","1","0","8","857"
"646.329065164","1","11","subject102_visualDetection_left_2019-09-11T14:55:04_12_target.png","0.0400543212891","subject102_visualDetection_left_2019-09-11T14:55:04_12_touch1.png","0.0419616699219","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","666.146993637","3","0","1","0","8","857"
"655.040520888","1","12","subject102_visualDetection_left_2019-09-11T14:55:04_13_target.png","0.0720024108887","subject102_visualDetection_left_2019-09-11T14:55:04_13_touch1.png","0.046968460083","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","766.197919846","4","0","1","0","8","857"
"648.028561047","0","13","subject102_visualDetection_left_2019-09-11T14:55:04_14_target.png","0.0498294830322","subject102_visualDetection_left_2019-09-11T14:55:04_14_touch1.png","0.0500679016113","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","-728","-200","466.926813126","4","0","1","0","9","857"
"647.930860519","1","14","subject102_visualDetection_left_2019-09-11T14:55:04_15_target.png","0.0541210174561","subject102_visualDetection_left_2019-09-11T14:55:04_15_touch1.png","0.0381469726562","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","766.563177109","5","0","1","0","9","857"
