"average_response_time","catch","count_trial_sequence","eye_image_target_file","eye_image_target_time","eye_image_touch1_file","eye_image_touch1_time","feedback_time","logfile","subject_nr","targ_x","targ_y","target_time","total_correct_rejection","total_eye_move","total_false_alarm","total_miss","total_targets_identified","touch_x"
"791.012048721","0","0","subject102_visualDetection_right_2019-09-11T14:38:32_1_target.png","0.0419616699219","subject102_visualDetection_right_2019-09-11T14:38:32_1_touch1.png","0.0710487365723","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","514","-174","564.90111351","0","0","0","0","1","-943"
"813.210010529","0","1","subject102_visualDetection_right_2019-09-11T14:38:32_2_target.png","0.186920166016","subject102_visualDetection_right_2019-09-11T14:38:32_2_touch1.png","0.210046768188","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","309","0","465.978145599","0","0","0","0","2","-943"
"1474.94800886","1","2","subject102_visualDetection_right_2019-09-11T14:38:32_3_target.png","0.042200088501","subject102_visualDetection_right_2019-09-11T14:38:32_3_touch1.png","0.0720024108887","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","364.070177078","1","0","0","0","2","-943"
"1247.37626314","0","3","subject102_visualDetection_right_2019-09-11T14:38:32_4_target.png","0.0429153442383","subject102_visualDetection_right_2019-09-11T14:38:32_4_touch1.png","0.0519752502441","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","728","200","565.721035004","1","0","0","0","3","-943"
"1075.97579956","0","4","subject102_visualDetection_right_2019-09-11T14:38:32_5_target.png","0.0710487365723","subject102_visualDetection_right_2019-09-11T14:38:32_5_touch1.png","0.0491142272949","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","514","174","451.701879501","1","0","0","0","4","-943"
"1197.78263569","1","5","subject102_visualDetection_right_2019-09-11T14:38:32_6_target.png","0.0598430633545","subject102_visualDetection_right_2019-09-11T14:38:32_6_touch1.png","0.0669956207275","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","467.514038086","2","0","0","0","4","-943"
"1454.67853546","1","6","subject102_visualDetection_right_2019-09-11T14:38:32_7_target.png","0.229120254517","subject102_visualDetection_right_2019-09-11T14:38:32_7_touch1.png","0.0669956207275","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","266.735076904","3","0","0","0","4","-943"
"1426.73820257","1","7","subject102_visualDetection_right_2019-09-11T14:38:32_8_target.png","0.0410079956055","subject102_visualDetection_right_2019-09-11T14:38:32_8_touch1.png","0.06103515625","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","750.858068466","4","0","0","0","4","-943"
"1314.62584602","0","8","subject102_visualDetection_right_2019-09-11T14:38:32_9_target.png","0.0388622283936","subject102_visualDetection_right_2019-09-11T14:38:32_9_touch1.png","0.0438690185547","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","740","0","366.946935654","4","0","0","0","5","-943"
"1225.30987263","0","9","subject102_visualDetection_right_2019-09-11T14:38:32_10_target.png","0.0429153442383","subject102_visualDetection_right_2019-09-11T14:38:32_10_touch1.png","0.0419616699219","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","524","0","566.091060638","4","0","0","0","6","-943"
"1205.17823913","1","10","subject102_visualDetection_right_2019-09-11T14:38:32_11_target.png","0.0579357147217","subject102_visualDetection_right_2019-09-11T14:38:32_11_touch1.png","0.0810623168945","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","365.803956985","5","0","0","0","6","-943"
"1141.3842241","0","11","subject102_visualDetection_right_2019-09-11T14:38:32_12_target.png","0.217914581299","subject102_visualDetection_right_2019-09-11T14:38:32_12_touch1.png","0.0739097595215","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","300","147","766.56293869","5","0","0","0","7","-943"
"1092.12574592","0","12","subject102_visualDetection_right_2019-09-11T14:38:32_13_target.png","0.198841094971","subject102_visualDetection_right_2019-09-11T14:38:32_13_touch1.png","0.115156173706","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","728","-200","562.055110931","5","0","0","0","8","-943"
"1051.08705589","0","13","subject102_visualDetection_right_2019-09-11T14:38:32_14_target.png","0.0429153442383","subject102_visualDetection_right_2019-09-11T14:38:32_14_touch1.png","0.0441074371338","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","300","-147","452.769994736","5","0","0","0","9","-943"
"1045.16957601","1","14","subject102_visualDetection_right_2019-09-11T14:38:32_15_target.png","0.0550746917725","subject102_visualDetection_right_2019-09-11T14:38:32_15_touch1.png","0.0400543212891","NA","/home/experimenter/DMT-AD/DMT2019_tasks/subject-102.csv","102","0","0","265.688896179","6","0","0","0","9","-943"
