"avg_rt","count_committed","count_experimentL_script","count_experimentR_script","cursor_x","cursor_y","datetime","experiment_file","eye_move","log_file","response_time","response_time_target_mouse_release_l","response_time_target_mouse_release_r","response_time_target_mouse_response_l","response_time_target_mouse_response_r","subject_nr","time_committed","time_trial_sequence_l","time_trial_sequence_r","x","y"
"530.333333333","1","1","NA","-421","-152","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","NA","NA","902","191","NA","498","NA","3","4477","2817","NA","-428","-163"
"387.5","2","2","NA","-734","43","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","NA","NA","47","169","NA","518","NA","3","8394","6709","NA","-740","0"
"299.166666667","4","4","NA","-713","-201","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","1","NA","3","110","NA","481","NA","3","14384","12614","NA","-728","-200"
"299.166666667","4","4","NA","-713","-201","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","110","NA","481","NA","3","14384","12614","NA","-728","-200"
"283.733333333","5","5","NA","-457","-25","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","95","NA","568","NA","3","17371","15695","NA","-438","0"
"271.111111111","6","6","NA","-140","-118","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","1","113","NA","510","NA","3","20154","18646","NA","-128","-126"
"256.5","8","8","NA","-90","16","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","1","NA","4","99","NA","454","NA","3","25694","24217","NA","-136","0"
"256.5","8","8","NA","-90","16","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","4","99","NA","454","NA","3","25694","24217","NA","-136","0"
"250.666666667","9","9","NA","-419","164","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","135","NA","474","NA","3","28514","26883","NA","-428","163"
"248.766666667","11","11","NA","-700","211","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","1","106","NA","588","NA","3","32045","30344","NA","-728","200"
"245.272727273","12","12","NA","-119","140","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","5","127","NA","499","NA","3","34890","33338","NA","-128","126"
"244.416666667","13","12","0","402","153","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","134","499","568","3","41401","33338","38513","428","163"
"240.979166667","17","12","4","418","-177","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","67","499","662","3","52482","33338","50937","428","-163"
"240.979166667","17","12","4","418","-177","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","67","499","662","3","52482","33338","50937","428","-163"
"240.979166667","17","12","4","418","-177","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","67","499","662","3","52482","33338","50937","428","-163"
"240.979166667","17","12","4","418","-177","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","67","499","662","3","52482","33338","50937","428","-163"
"251.705882353","18","12","5","136","117","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","495","499","772","3","55499","33338","53980","128","126"
"264.12962963","20","12","7","110","-123","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","770","499","653","3","61454","33338","59024","128","-126"
"261.087719298","21","12","8","173","-3","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","1","127","125","499","493","3","64879","33338","63480","136","0"
"258.633333333","22","12","9","438","-14","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","4","127","120","499","512","3","67505","33338","66095","438","0"
"257.079365079","23","12","10","746","204","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","6","127","112","499","560","3","70239","33338","68760","728","200"
"255.136363636","24","12","11","696","-162","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","102","499","538","3","73050","33338","71530","728","-200"
"253.231884058","26","12","13","748","7","Tue 25 Jun 2019 10:33:31 BST","pointingTask_openLoop_v1.osexp","0","NA","3","127","139","499","492","3","76601","33338","74837","740","0"
