"acc","accuracy","average_response_time","avg_rt","background","beep_end","beep_touchOffset","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_intro","correct_target_mouse_release_l","correct_target_mouse_release_r","correct_target_mouse_response","correct_target_mouse_response_r","correct_valid_trial","correct_valid_trial_1","count_beep","count_beep_1","count_blank","count_blank_1","count_committed","count_committed_1","count_counterbalance_prep1","count_counterbalance_prep2","count_end_block1","count_end_block2","count_end_experiment","count_even","count_experiment","count_experimentR_script","count_experiment_script","count_experiment_sequence","count_fixation","count_fixation_r","count_global_prep","count_intro","count_invalid_trial_check_1","count_invalid_trial_check_l","count_invalid_trial_check_r","count_logger","count_new_sequence","count_new_sequence_1","count_new_sequence_2","count_pause1","count_pause2","count_pause2_1","count_pause2_l1","count_pause2_r","count_pause2_r1","count_reach_duration_log","count_repeat","count_repeat_1","count_repeat_if_lifted","count_repeat_if_short","count_self_logger","count_sequence2","count_side_1","count_side_2","count_target","count_target_mouse_release_l","count_target_mouse_release_r","count_target_mouse_response","count_target_mouse_response_r","count_target_r","count_touch_pad","count_touch_pad_r","count_trial_sequence","count_trial_sequence2","count_valid_trial","count_valid_trial_1","count_valid_trial_check","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","eye_move","fix_x","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_experiment_sequence","logfile","mouse_backend","opensesame_codename","opensesame_version","pix_perDeg","reach_duration","reach_t0","repeat_cycle","response","response_end_block1","response_end_block2","response_end_experiment","response_intro","response_target_mouse_release_l","response_target_mouse_release_r","response_target_mouse_response","response_target_mouse_response_r","response_time","response_time_end_block1","response_time_end_block2","response_time_end_experiment","response_time_intro","response_time_target_mouse_release_l","response_time_target_mouse_release_r","response_time_target_mouse_response","response_time_target_mouse_response_r","response_time_valid_trial","response_time_valid_trial_1","response_valid_trial","response_valid_trial_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targets_file","time_beep","time_beep_1","time_blank","time_blank_1","time_committed","time_committed_1","time_counterbalance_prep1","time_counterbalance_prep2","time_end_block1","time_end_block2","time_end_experiment","time_even","time_experiment","time_experimentR_script","time_experiment_script","time_experiment_sequence","time_fixation","time_fixation_r","time_global_prep","time_intro","time_invalid_trial_check_1","time_invalid_trial_check_l","time_invalid_trial_check_r","time_logger","time_new_sequence","time_new_sequence_1","time_new_sequence_2","time_pause1","time_pause2","time_pause2_1","time_pause2_l1","time_pause2_r","time_pause2_r1","time_reach_duration_log","time_repeat","time_repeat_1","time_repeat_if_lifted","time_repeat_if_short","time_self_logger","time_sequence2","time_side_1","time_side_2","time_target","time_target_mouse_release_l","time_target_mouse_release_r","time_target_mouse_response","time_target_mouse_response_r","time_target_r","time_touch_pad","time_touch_pad_r","time_trial_sequence","time_trial_sequence2","time_valid_trial","time_valid_trial_1","time_valid_trial_check","title","total_correct","total_response_time","total_responses","touch_x","uniform_coordinates","width","x","y"
"100","100","1002.19988823","1002.19988823","black","4911.52000427","161.945104599","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","0","NA","0","NA","0","NA","0","0","0","NA","0","NA","0","NA","0","1","0","NA","0","0","NA","0","NA","0","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","0","NA","0","NA","NA","stim0","-466","165","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","433.184862137","5073.46510887","0","y","NA","NA","NA","1","NA","NA","1","NA","1571.84791565","NA","NA","NA","544.549226761","NA","NA","432.551860809","NA","1571.84791565","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","4816.37811661","NA","1688.60697746","NA","4911.49902344","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","1714.21098709","1646.23808861","2812.26110458","NA","1092.33403206","1101.09496117","NA","NA","NA","7281.79502487","NA","NA","NA","NA","5509.29498672","NA","NA","NA","NA","5506.63900375","NA","NA","NA","NA","NA","NA","1646.1520195","NA","3815.35005569","NA","NA","5073.59218597","NA","NA","1713.75799179","NA","1685.98198891","NA","5709.42807198","NA","NA","Pointing_task","1","2004.39977646","2","868","yes","1920","-428","163"
"100","100","606.808960438","606.808960438","black","9980.79609871","118.535995483","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","1","NA","1","NA","1","NA","0","0","0","NA","0","NA","0","NA","1","1","1","NA","0","0","NA","1","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","1","NA","1","NA","NA","","-76","-83","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","1","1","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","376.971960068","10099.3320942","0","y","NA","NA","NA","1","NA","NA","1","NA","46.47397995","NA","NA","NA","544.549226761","NA","NA","376.362085342","NA","46.47397995","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","9880.48696518","NA","7413.45715523","NA","9980.7741642","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","7442.86417961","1646.23808861","7876.61218643","NA","1092.33403206","1101.09496117","NA","NA","NA","10726.0220051","NA","NA","NA","NA","10479.1240692","NA","NA","NA","NA","10476.293087","NA","NA","NA","NA","NA","NA","1646.1520195","NA","8879.48513031","NA","NA","10099.4610786","NA","NA","7442.50297546","NA","7410.94017029","NA","10679.2631149","NA","NA","Pointing_task","2","2427.23584175","4","868","yes","1920","-128","-126"
"100","100","813.16947937","813.16947937","black","13474.2081165","102.035045624","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","2","NA","2","NA","2","NA","0","0","0","NA","0","NA","0","NA","2","1","2","NA","0","0","NA","2","NA","2","NA","NA","NA","NA","2","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","2","NA","2","NA","NA","stim0","-130","15","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","2","2","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","1153.69391441","13576.2431622","0","y","NA","NA","NA","1","NA","NA","1","NA","1298.74801636","NA","NA","NA","544.549226761","NA","NA","1153.03301811","NA","1298.74801636","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","13359.6460819","NA","10830.9531212","NA","13474.1799831","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","10856.6319942","1646.23808861","11354.9699783","NA","1092.33403206","1101.09496117","NA","NA","NA","16231.8940163","NA","NA","NA","NA","14732.6631546","NA","NA","NA","NA","14729.9239635","NA","NA","NA","NA","NA","NA","1646.1520195","NA","12358.6220741","NA","NA","13576.3721466","NA","NA","10856.3530445","NA","10828.4761906","NA","14932.8360558","NA","NA","Pointing_task","3","4879.01687622","6","868","yes","1920","-136","0"
"100","100","677.365332842","677.365332842","black","18958.1320286","196.68507576","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","3","NA","3","NA","3","NA","0","0","0","NA","0","NA","0","NA","3","1","3","NA","0","0","NA","3","NA","3","NA","NA","NA","NA","3","NA","NA","NA","NA","3","3","NA","NA","NA","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","3","NA","3","NA","NA","stim0","-733","20","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","3","3","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","471.539974213","19154.8171043","0","y","NA","NA","NA","1","NA","NA","1","NA","69.0248012543","NA","NA","NA","544.549226761","NA","NA","470.88098526","NA","69.0248012543","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","18860.4741096","NA","16380.7380199","NA","18958.1091404","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","16401.982069","1646.23808861","16856.2111855","NA","1092.33403206","1101.09496117","NA","NA","NA","19898.4830379","NA","NA","NA","NA","19628.9851665","NA","NA","NA","NA","19626.3461113","NA","NA","NA","NA","NA","NA","1646.1520195","NA","17859.4510555","NA","NA","19154.9470425","NA","NA","16401.7441273","NA","16377.8870106","NA","19829.1351795","NA","NA","Pointing_task","4","5418.92266273","8","868","yes","1920","-740","0"
"100","100","589.089155197","589.089155197","black","22629.7121048","163.889884949","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","4","NA","4","NA","4","NA","0","0","0","NA","0","NA","0","NA","4","1","4","NA","0","0","NA","4","NA","4","NA","NA","NA","NA","4","NA","NA","NA","NA","4","4","NA","NA","NA","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","4","NA","4","NA","NA","stim0","-709","-183","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","4","4","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","443.070173264","22793.6019897","0","y","NA","NA","NA","1","NA","NA","1","NA","29.5209884644","NA","NA","NA","544.549226761","NA","NA","442.447900772","NA","29.5209884644","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","22519.4680691","NA","20000.631094","NA","22629.6889782","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","20032.3870182","1646.23808861","20515.2649879","NA","1092.33403206","1101.09496117","NA","NA","NA","23469.4440365","NA","NA","NA","NA","23239.4790649","NA","NA","NA","NA","23236.6600037","NA","NA","NA","NA","NA","NA","1646.1520195","NA","21518.445015","NA","NA","22793.7221527","NA","NA","20032.1111679","NA","19997.8811741","NA","23439.6190643","NA","NA","Pointing_task","5","5890.89155197","10","868","yes","1920","-728","-200"
"100","100","605.359792709","605.359792709","black","26234.0590954","150.475978851","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","5","NA","5","NA","5","NA","0","0","0","NA","0","NA","0","NA","5","1","5","NA","0","0","NA","5","NA","5","NA","NA","NA","NA","5","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","5","NA","5","NA","NA","stim0","-123","100","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","5","5","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","358.561992645","26384.5350742","0","y","NA","NA","NA","1","NA","NA","1","NA","1015.48695564","NA","NA","NA","544.549226761","NA","NA","357.939004898","NA","1015.48695564","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","26138.8020515","NA","23575.6721497","NA","26234.0340614","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","23596.0919857","1646.23808861","24134.4749928","NA","1092.33403206","1101.09496117","NA","NA","NA","27961.616993","NA","NA","NA","NA","26745.6641197","NA","NA","NA","NA","26743.0860996","NA","NA","NA","NA","NA","NA","1646.1520195","NA","25137.7689838","NA","NA","26384.6571445","NA","NA","23595.8080292","NA","23572.9031563","NA","26945.7991123","NA","NA","Pointing_task","6","7264.31751251","12","868","yes","1920","-128","126"
"100","100","550.905891827","550.905891827","black","30736.3941669","138.142824173","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","6","NA","6","NA","6","NA","0","0","0","NA","0","NA","0","NA","6","1","6","NA","0","0","NA","6","NA","6","NA","NA","NA","NA","6","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","6","NA","6","NA","NA","stim0","-718","212","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","6","6","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","442.50702858","30874.5369911","0","y","NA","NA","NA","1","NA","NA","1","NA","6.52694702148","NA","NA","NA","544.549226761","NA","NA","441.838026047","NA","6.52694702148","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","30637.3269558","NA","28128.9019585","NA","30736.3710403","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","28159.24716","1646.23808861","28633.2671642","NA","1092.33403206","1101.09496117","NA","NA","NA","31526.6411304","NA","NA","NA","NA","31319.6530342","NA","NA","NA","NA","31317.0311451","NA","NA","NA","NA","NA","NA","1646.1520195","NA","29636.3561153","NA","NA","30874.6590614","NA","NA","28158.8261127","NA","28126.1200905","NA","31519.7980404","NA","NA","Pointing_task","7","7712.68248558","14","868","yes","1920","-728","200"
"100","100","614.74147439","614.74147439","black","34307.1329594","139.14513588","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","7","NA","7","NA","7","NA","0","0","0","NA","0","NA","0","NA","7","1","7","NA","0","0","NA","7","NA","7","NA","NA","NA","NA","7","NA","NA","NA","NA","7","7","NA","NA","NA","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","7","NA","7","NA","NA","stim0","-423","-155","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","7","7","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","386.198997498","34446.2780952","0","y","NA","NA","NA","1","NA","NA","1","NA","1737.64300346","NA","NA","NA","544.549226761","NA","NA","385.538101196","NA","1737.64300346","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","34209.318161","NA","31635.9369755","NA","34307.1100712","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","31656.373024","1646.23808861","32204.6730518","NA","1092.33403206","1101.09496117","NA","NA","NA","36773.3039856","NA","NA","NA","NA","34835.1631165","NA","NA","NA","NA","34832.4651718","NA","NA","NA","NA","NA","NA","1646.1520195","NA","33208.3389759","NA","NA","34446.3989735","NA","NA","31656.0711861","NA","31633.2991123","NA","35035.3050232","NA","NA","Pointing_task","8","9835.86359024","16","868","yes","1920","-428","-163"
"100","100","576.143807835","576.143807835","black","39494.6951866","78.1219005585","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","8","NA","8","NA","8","NA","0","0","0","NA","0","NA","0","NA","8","1","8","NA","0","0","NA","8","NA","8","NA","NA","NA","NA","8","NA","NA","NA","NA","8","8","NA","NA","NA","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","8","NA","8","NA","NA","stim0","-446","2","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","8","8","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","471.438884735","39572.8170872","0","y","NA","NA","NA","1","NA","NA","1","NA","63.9760494232","NA","NA","NA","544.549226761","NA","NA","470.748901367","NA","63.9760494232","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","39392.9281235","NA","36876.7080307","NA","39494.6651459","NA","1646.21305466","NA","NA","NA","NA","NA","1092.20695496","NA","36901.5469551","1646.23808861","37388.4949684","NA","1092.33403206","1101.09496117","NA","NA","NA","40311.3100529","NA","NA","NA","NA","40046.8420982","NA","NA","NA","NA","40044.244051","NA","NA","NA","NA","NA","NA","1646.1520195","NA","38391.9200897","NA","NA","39572.9441643","NA","NA","36901.2751579","NA","36874.1750717","NA","40246.9789982","NA","NA","Pointing_task","9","10370.588541","18","868","yes","1920","-438","0"
"100","100","539.760863781","539.760863781","black","45059.9629879","190.021038055","psycho","psycho","psycho","0","uniform","1","undefined","NA","NA","undefined","NA","1","NA","9","NA","9","NA","9","NA","0","0","0","NA","0","NA","0","NA","9","1","9","NA","0","0","NA","9","NA","9","NA","NA","NA","NA","9","NA","NA","NA","NA","9","9","NA","NA","NA","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","9","NA","9","NA","NA","stim0","-436","-1","Thu 27 Jun 2019 11:06:57 BST","The main experiment item","yes","NA","pointingTask_openLoop_v1.osexp","/home/experimenter/git/DMT2019/pointingTask/openLoop","NA","900","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","/home/experimenter/git/DMT2019/pointingTask/openLoop/subject-2.csv","psycho","Kafkaesque Koffka","3.2.7b1","43.7633665943","357.972145081","45249.984026","0","y","1","NA","NA","1","NA","NA","1","NA","67.3937797546","830.708026886","NA","NA","544.549226761","NA","NA","357.234954834","NA","67.3937797546","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","pointingTask_targets_radial7_left.csv","44965.0909901","NA","41309.0121746","NA","45059.939146","NA","1646.21305466","41262.07304","40380.9320927","NA","NA","NA","1092.20695496","NA","41331.1140537","41262.1080875","42960.4091644","NA","1092.33403206","1101.09496117","NA","NA","NA","45878.4861565","NA","NA","NA","NA","45610.5680466","NA","NA","NA","NA","45607.9440117","NA","NA","NA","NA","NA","NA","1646.1520195","41261.8951797","43964.0631676","NA","NA","45250.1111031","NA","NA","41330.8660984","NA","41306.5011501","NA","45810.7051849","NA","NA","Pointing_task","10","10795.2172756","20","868","yes","1920","-438","0"
