"avg_rt","beep_touchOffset","count_committed","count_experimentL_script","count_experimentR_script","cursor_x","cursor_y","datetime","experiment_file","eye_move","log_file","reach_duration","reach_t0","response_time","subject_nr","time_committed","time_trial_sequence_l","time_trial_sequence_r","x","y"
"782.765388489","164.007902145","0","0","NA","-410","0","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","734.595060349","7656.62789345","831.553936005","3","7492.59805679","3462.28003502","NA","-438","0"
"635.09696722","131.953001022","1","1","NA","-406","-135","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","424.568891525","12225.9860039","550.898075104","3","12094.0101147","9546.03600502","NA","-428","-163"
"558.179656665","135.998010635","2","2","NA","-710","-183","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","452.98409462","16240.2529716","356.339931488","3","16104.2308807","13522.4909782","NA","-728","-200"
"512.835979462","151.566982269","3","3","NA","-755","1","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","490.560054779","20085.3619576","263.670921326","3","19933.770895","17355.809927","NA","-740","0"
"480.409765244","88.3572101593","4","4","NA","-116","165","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","301.575899124","23780.0281048","400.460958481","3","23691.6460991","21145.8940506","NA","-128","126"
"447.28265206","178.411006927","5","5","NA","-452","148","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","339.365005493","27623.0809689","224.56908226","3","27444.6439743","24785.3341103","NA","-428","163"
"427.915130343","209.673881531","6","6","NA","-690","191","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","414.394140244","31252.9819012","209.683895111","3","31043.2860851","28488.2669449","NA","-728","200"
"410.702615976","170.258998871","7","7","NA","-159","-28","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","292.695999146","34900.0608921","288.409948349","3","34729.7780514","32182.1830273","NA","-136","0"
"405.033654637","179.705858231","9","9","NA","-128","-108","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","NA","NA","349.095106125","39231.071949","370.939970016","3","39051.3429642","36362.8230095","NA","-128","-126"
"406.133544445","167.143106461","10","9","0","666","-137","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","471.307992935","45790.8940315","361.42706871","3","45623.7270832","36362.8230095","41926.9618988","728","-200"
"450.125390833","198.466777802","11","9","1","184","-15","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","396.713018417","49530.9588909","1384.07588005","3","49332.4649334","36362.8230095","47273.2989788","136","0"
"439.090023438","219.912052155","12","9","2","527","40","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","339.808940887","54355.4639816","296.293973923","3","54135.5290413","36362.8230095","51913.077116","438","0"
"455.842632514","194.031953812","13","9","3","145","-107","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","348.981142044","57933.2709312","965.451002121","3","57739.2160892","36362.8230095","55597.784996","128","-126"
"436.274664743","179.499149323","14","9","4","88","178","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","292.719841003","62228.2800674","71.7701911926","3","62048.7589836","36362.8230095","59845.5719948","128","126"
"463.398218155","265.74587822","15","9","5","451","161","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","396.425008774","65646.312952","1290.54689407","3","65380.5389404","36362.8230095","63202.0070553","428","163"
"483.849823475","247.968912125","16","9","6","404","-157","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","434.138059616","70365.4839993","1147.84789085","3","70117.4919605","36362.8230095","67984.6038818","428","-163"
"487.939806545","182.525873184","17","9","7","738","-6","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","518.883228302","74961.5008831","588.603019714","3","74778.9509296","36362.8230095","72599.6160507","740","0"
"478.274285793","248.946905136","18","9","8","736","206","Tue 25 Jun 2019 16:31:42 BST","pointingTask_openLoop_v1.osexp","0","NA","499.771118164","78925.0938892","128.901958466","3","78676.1128902","36362.8230095","76680.1168919","728","200"
