"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_end_experiment_key","correct_intro","correct_target_mouse_release","correct_target_mouse_release_1","correct_target_mouse_response","correct_target_mouse_response_1","correct_valid_trial","correct_valid_trial_1","count_LVF_loop","count_RVF_loop","count_beep","count_beep_1","count_blank","count_blank_1","count_committed","count_committed_1","count_end","count_end_experiment_key","count_even","count_experimentL_script","count_experimentR_script","count_experiment_even","count_fixation_l","count_fixation_r","count_global_prep","count_intro","count_invalid_trial_check","count_invalid_trial_check_1","count_logger","count_loop_end","count_pause1","count_pause2_1","count_pause2_l","count_pause2_r","count_repeat","count_repeat_1","count_repeat_if_lifted","count_repeat_if_short","count_target_l","count_target_mouse_release","count_target_mouse_release_1","count_target_mouse_response","count_target_mouse_response_1","count_target_r","count_touch_pad_l","count_touch_pad_r","count_trial_sequence_l","count_trial_sequence_r","count_valid_trial","count_valid_trial_1","count_valid_trial_check","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","eye_move","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_RVF_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","pix_perDeg","repeat_cycle","response","response_end","response_end_experiment_key","response_intro","response_loop_end","response_target_mouse_release","response_target_mouse_release_1","response_target_mouse_response","response_target_mouse_response_1","response_time","response_time_end","response_time_end_experiment_key","response_time_intro","response_time_loop_end","response_time_target_mouse_release","response_time_target_mouse_release_1","response_time_target_mouse_response","response_time_target_mouse_response_1","response_time_valid_trial","response_time_valid_trial_1","response_valid_trial","response_valid_trial_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_LVF_loop","time_RVF_loop","time_beep","time_beep_1","time_blank","time_blank_1","time_committed","time_committed_1","time_end","time_end_experiment_key","time_even","time_experimentL_script","time_experimentR_script","time_experiment_even","time_fixation_l","time_fixation_r","time_global_prep","time_intro","time_invalid_trial_check","time_invalid_trial_check_1","time_logger","time_loop_end","time_pause1","time_pause2_1","time_pause2_l","time_pause2_r","time_repeat","time_repeat_1","time_repeat_if_lifted","time_repeat_if_short","time_target_l","time_target_mouse_release","time_target_mouse_release_1","time_target_mouse_response","time_target_mouse_response_1","time_target_r","time_touch_pad_l","time_touch_pad_r","time_trial_sequence_l","time_trial_sequence_r","time_valid_trial","time_valid_trial_1","time_valid_trial_check","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","x","y"
"100","100","592.666666667","592.666666667","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","0","NA","0","NA","0","NA","0","NA","NA","NA","0","0","NA","0","0","0","0","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","NA","NA","stim0","128","-127","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","0","0","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","1227","NA","NA","683","NA","146","NA","405","NA","1227","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","3847","NA","1695","NA","3944","NA","NA","NA","NA","NA","1702","960","NA","2844","960","966","NA","NA","6229","NA","NA","NA","NA","4502","NA","NA","NA","NA","NA","3944","NA","4090","NA","3347","NA","1702","NA","1692","5002","NA","NA","New experiment","1","1778","3","yes","1920","128","-126"
"100","100","396.666666667","396.666666667","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","1","NA","1","NA","1","NA","0","NA","NA","NA","1","0","NA","1","0","0","1","NA","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1","NA","1","NA","1","NA","1","NA","1","1","NA","NA","","805","-202","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","1","1","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","3","NA","NA","683","NA","24","NA","575","NA","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","7927","NA","6348","NA","8023","NA","NA","NA","NA","NA","6356","960","NA","6920","960","966","NA","NA","9135","NA","NA","NA","NA","8631","NA","NA","NA","NA","NA","8023","NA","8048","NA","7427","NA","6356","NA","6346","9131","NA","NA","New experiment","2","2380","6","yes","1920","728","-200"
"100","100","335.111111111","335.111111111","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","2","NA","2","NA","2","NA","0","NA","NA","NA","2","0","NA","2","0","0","2","NA","2","NA","NA","NA","NA","2","2","NA","NA","NA","NA","2","NA","2","NA","2","NA","2","NA","2","2","NA","NA","","376","-21","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","2","2","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","3","NA","NA","683","NA","135","NA","498","NA","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","10577","NA","9240","NA","10676","NA","NA","NA","NA","NA","9249","960","NA","9569","960","966","NA","NA","11817","NA","NA","NA","NA","11313","NA","NA","NA","NA","NA","10676","NA","10811","NA","10077","NA","9248","NA","9237","11813","NA","NA","New experiment","3","3016","9","yes","1920","438","0"
"100","100","304.333333333","304.333333333","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","3","NA","3","NA","3","NA","0","NA","NA","NA","3","0","NA","3","0","0","3","NA","3","NA","NA","NA","NA","3","3","NA","NA","NA","NA","3","NA","3","NA","3","NA","3","NA","3","3","NA","NA","stim0","398","-160","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","3","3","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","4","NA","NA","683","NA","132","NA","500","NA","4","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","13255","NA","11933","NA","13356","NA","NA","NA","NA","NA","11940","960","NA","12247","960","966","NA","NA","14501","NA","NA","NA","NA","13996","NA","NA","NA","NA","NA","13356","NA","13488","NA","12755","NA","11940","NA","11930","14496","NA","NA","New experiment","4","3652","12","yes","1920","428","-163"
"100","100","305.2","305.2","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","4","NA","4","NA","4","NA","0","NA","NA","NA","4","0","NA","4","0","0","4","NA","4","NA","NA","NA","NA","4","4","NA","NA","NA","NA","4","NA","4","NA","4","NA","4","NA","4","4","NA","NA","stim0","720","217","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","4","4","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","3","NA","NA","683","NA","75","NA","848","NA","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","15885","NA","14600","NA","15977","NA","NA","NA","NA","NA","14608","960","NA","14877","960","966","NA","NA","17411","NA","NA","NA","NA","16907","NA","NA","NA","NA","NA","15977","NA","16052","NA","15385","NA","14607","NA","14597","17407","NA","NA","New experiment","5","4578","15","yes","1920","728","200"
"100","100","290.333333333","290.333333333","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","5","NA","5","NA","5","NA","0","NA","NA","NA","5","0","NA","5","0","0","5","NA","5","NA","NA","NA","NA","5","5","NA","NA","NA","NA","5","NA","5","NA","5","NA","5","NA","5","5","NA","NA","stim0","723","-20","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","5","5","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","3","NA","NA","683","NA","137","NA","508","NA","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","18777","NA","17524","NA","18864","NA","NA","NA","NA","NA","17531","960","NA","17770","960","966","NA","NA","20026","NA","NA","NA","NA","19516","NA","NA","NA","NA","NA","18864","NA","19002","NA","18277","NA","17531","NA","17521","20022","NA","NA","New experiment","6","5226","18","yes","1920","740","0"
"100","100","278.238095238","278.238095238","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","6","NA","6","NA","6","NA","0","NA","NA","NA","6","0","NA","6","0","0","6","NA","6","NA","NA","NA","NA","6","6","NA","NA","NA","NA","6","NA","6","NA","6","NA","6","NA","6","6","NA","NA","","72","126","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","6","6","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","1","NA","NA","683","NA","80","NA","536","NA","1","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","21393","NA","20132","NA","21496","NA","NA","NA","NA","NA","20139","960","NA","20390","960","966","NA","NA","22618","NA","NA","NA","NA","22115","NA","NA","NA","NA","NA","21496","NA","21576","NA","20893","NA","20139","NA","20129","22616","NA","NA","New experiment","7","5843","21","yes","1920","128","126"
"100","100","270.333333333","270.333333333","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","7","NA","7","NA","7","NA","0","NA","NA","NA","7","0","NA","7","0","0","7","NA","7","NA","NA","NA","NA","7","7","NA","NA","NA","NA","7","NA","7","NA","7","NA","7","NA","7","7","NA","NA","stim0","419","164","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","7","7","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","2","NA","NA","683","NA","49","NA","594","NA","2","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","24000","NA","22716","NA","24090","NA","NA","NA","NA","NA","22724","960","NA","22992","960","966","NA","NA","25255","NA","NA","NA","NA","24741","NA","NA","NA","NA","NA","24090","NA","24139","NA","23500","NA","22724","NA","22714","25251","NA","NA","New experiment","8","6488","24","yes","1920","428","163"
"100","100","258.62962963","258.62962963","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","8","NA","8","NA","8","NA","0","NA","NA","NA","8","0","NA","8","0","0","8","NA","8","NA","NA","NA","NA","8","8","NA","NA","NA","NA","8","NA","8","NA","8","NA","8","NA","8","8","NA","NA","","80","-11","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","8","8","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","1","NA","1","NA","1","NA","3","NA","NA","683","NA","50","NA","442","NA","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","NA","1650","26657","NA","25378","NA","26757","NA","NA","NA","NA","NA","25387","960","NA","25650","960","966","NA","NA","27760","NA","NA","NA","NA","27256","NA","NA","NA","NA","NA","26757","NA","26807","NA","26157","NA","25387","NA","25375","27756","NA","NA","New experiment","9","6983","27","yes","1920","136","0"
"100","100","260.966666667","260.966666667","black","legacy","legacy","legacy","0","uniform","1","NA","undefined","undefined","NA","undefined","NA","1","NA","0","0","9","NA","9","NA","9","NA","0","NA","NA","0","8","0","0","8","0","0","9","NA","9","NA","NA","NA","0","8","9","NA","NA","NA","0","9","NA","9","NA","8","0","8","0","8","9","NA","NA","","-100","138","Thu 20 Jun 2019 13:26:00 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","NA","no","mono","no","18","no","white","no","no","1080","legacy","0","8","/home/experimenter/git/DMT2019/pointingTask/subject-1.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","1","NA","1","NA","1","NA","1","NA","154","1521","NA","683","NA","176","NA","516","NA","154","NA","y","NA","2","legacy","1024","2","48000","-16","experiment_even","1","odd","29361","1650","33604","NA","29428","NA","33710","NA","27839","NA","NA","29436","25387","960","32601","25650","960","966","NA","NA","35070","NA","NA","NA","34415","27256","NA","NA","NA","NA","33104","33710","NA","33887","NA","26157","29435","25387","29426","25375","34915","NA","NA","New experiment","10","7829","30","yes","1920","-128","126"
