"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_intro","correct_target_mouse_release_l","correct_target_mouse_release_r","correct_target_mouse_response_l","correct_target_mouse_response_r","correct_valid_trial","correct_valid_trial_1","count_LVF_loop","count_RVF_loop","count_beep","count_beep_1","count_blank","count_blank_1","count_committed","count_committed_1","count_counter_even","count_counter_odd","count_end_block1","count_end_block2","count_end_experiment","count_even","count_experiment","count_experimentL_script","count_experimentR_script","count_fixation_l","count_fixation_r","count_global_prep","count_intro","count_invalid_trial_check_1","count_invalid_trial_check_l","count_invalid_trial_check_r","count_logger","count_new_sequence","count_new_sequence_1","count_new_sequence_2","count_pause1","count_pause2_1","count_pause2_l","count_pause2_r","count_repeat","count_repeat_1","count_repeat_if_lifted","count_repeat_if_short","count_target_l","count_target_mouse_release_l","count_target_mouse_release_r","count_target_mouse_response_l","count_target_mouse_response_r","count_target_r","count_touch_pad_l","count_touch_pad_r","count_trial_sequence_l","count_trial_sequence_r","count_valid_trial","count_valid_trial_1","count_valid_trial_check","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","eye_move","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_RVF_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","pix_perDeg","repeat_cycle","response","response_end_block1","response_end_block2","response_end_experiment","response_intro","response_target_mouse_release_l","response_target_mouse_release_r","response_target_mouse_response_l","response_target_mouse_response_r","response_time","response_time_end_block1","response_time_end_block2","response_time_end_experiment","response_time_intro","response_time_target_mouse_release_l","response_time_target_mouse_release_r","response_time_target_mouse_response_l","response_time_target_mouse_response_r","response_time_valid_trial","response_time_valid_trial_1","response_valid_trial","response_valid_trial_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_LVF_loop","time_RVF_loop","time_beep","time_beep_1","time_blank","time_blank_1","time_committed","time_committed_1","time_counter_even","time_counter_odd","time_end_block1","time_end_block2","time_end_experiment","time_even","time_experiment","time_experimentL_script","time_experimentR_script","time_fixation_l","time_fixation_r","time_global_prep","time_intro","time_invalid_trial_check_1","time_invalid_trial_check_l","time_invalid_trial_check_r","time_logger","time_new_sequence","time_new_sequence_1","time_new_sequence_2","time_pause1","time_pause2_1","time_pause2_l","time_pause2_r","time_repeat","time_repeat_1","time_repeat_if_lifted","time_repeat_if_short","time_target_l","time_target_mouse_release_l","time_target_mouse_release_r","time_target_mouse_response_l","time_target_mouse_response_r","time_target_r","time_touch_pad_l","time_touch_pad_r","time_trial_sequence_l","time_trial_sequence_r","time_valid_trial","time_valid_trial_1","time_valid_trial_check","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","x","y"
"100","100","557.666666667","557.666666667","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","0","NA","0","NA","0","NA","0","0","1","NA","0","NA","0","NA","0","NA","0","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","0","NA","0","0","NA","0","NA","0","0","NA","NA","stim0","156","-19","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","0","0","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","1160","NA","NA","NA","959","NA","136","NA","377","1160","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","4285","NA","2074","NA","4384","NA","2000","NA","NA","NA","NA","NA","1037","NA","2083","NA","3279","1037","1041","NA","NA","6568","6568","NA","NA","NA","NA","NA","NA","4907","NA","NA","NA","NA","NA","NA","4384","NA","4521","3785","NA","2082","NA","2070","5407","NA","NA","New experiment","1","1673","3","yes","1920","136","0"
"100","100","373.333333333","373.333333333","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","1","NA","1","NA","1","NA","0","0","1","NA","0","NA","0","NA","1","NA","1","0","0","NA","NA","1","1","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","NA","1","1","NA","1","NA","1","1","NA","NA","","739","-151","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","1","1","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","3","NA","NA","NA","959","NA","111","NA","453","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","8247","NA","6722","NA","8350","NA","2000","NA","NA","NA","NA","NA","1037","NA","6730","NA","7238","1037","1041","NA","NA","9428","9428","NA","NA","NA","NA","NA","NA","8924","NA","NA","NA","NA","NA","NA","8350","NA","8462","7747","NA","6730","NA","6719","9424","NA","NA","New experiment","2","2240","6","yes","1920","728","-200"
"100","100","346.111111111","346.111111111","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","2","NA","2","NA","2","NA","0","0","1","NA","0","NA","0","NA","2","NA","2","0","0","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","2","NA","2","2","NA","2","NA","2","2","NA","NA","stim0","731","10","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","2","2","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","3","NA","NA","NA","959","NA","137","NA","735","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","10844","NA","9535","NA","10934","NA","2000","NA","NA","NA","NA","NA","1037","NA","9544","NA","9841","1037","1041","NA","NA","12315","12315","NA","NA","NA","NA","NA","NA","11811","NA","NA","NA","NA","NA","NA","10935","NA","11073","10344","NA","9544","NA","9532","12311","NA","NA","New experiment","3","3115","9","yes","1920","740","0"
"100","100","302.166666667","302.166666667","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","3","NA","3","NA","3","NA","0","0","1","NA","0","NA","0","NA","3","NA","3","0","0","NA","NA","3","3","NA","NA","NA","NA","NA","NA","3","3","NA","NA","NA","NA","NA","3","NA","3","3","NA","3","NA","3","3","NA","NA","stim0","468","177","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","3","3","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","4","NA","NA","NA","959","NA","112","NA","395","4","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","13679","NA","12435","NA","13770","NA","2000","NA","NA","NA","NA","NA","1037","NA","12443","NA","12669","1037","1041","NA","NA","14791","14791","NA","NA","NA","NA","NA","NA","14286","NA","NA","NA","NA","NA","NA","13770","NA","13882","13179","NA","12443","NA","12431","14786","NA","NA","New experiment","4","3626","12","yes","1920","428","163"
"100","100","280.733333333","280.733333333","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","4","NA","4","NA","4","NA","0","0","1","NA","0","NA","0","NA","4","NA","4","0","0","NA","NA","4","4","NA","NA","NA","NA","NA","NA","4","4","NA","NA","NA","NA","NA","4","NA","4","4","NA","4","NA","4","4","NA","NA","stim0","754","218","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","4","4","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","1","NA","NA","NA","959","NA","103","NA","481","1","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","16254","NA","14918","NA","16352","NA","2000","NA","NA","NA","NA","NA","1037","NA","14925","NA","15251","1037","1041","NA","NA","17440","17440","NA","NA","NA","NA","NA","NA","16939","NA","NA","NA","NA","NA","NA","16352","NA","16455","15753","NA","14925","NA","14915","17439","NA","NA","New experiment","5","4211","15","yes","1920","728","200"
"100","100","284.444444444","284.444444444","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","5","NA","5","NA","5","NA","0","0","1","NA","0","NA","0","NA","5","NA","5","0","0","NA","NA","5","5","NA","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","5","NA","5","5","NA","5","NA","5","5","NA","NA","stim0","402","-137","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","5","5","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","1","NA","NA","NA","959","NA","78","NA","830","1","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","18853","NA","17566","NA","18969","NA","2000","NA","NA","NA","NA","NA","1037","NA","17574","NA","17844","1037","1041","NA","NA","20386","20386","NA","NA","NA","NA","NA","NA","19885","NA","NA","NA","NA","NA","NA","18969","NA","19047","18353","NA","17573","NA","17563","20385","NA","NA","New experiment","6","5120","18","yes","1920","428","-163"
"100","100","269.095238095","269.095238095","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","6","NA","6","NA","6","NA","0","0","1","NA","0","NA","0","NA","6","NA","6","0","0","NA","NA","6","6","NA","NA","NA","NA","NA","NA","6","6","NA","NA","NA","NA","NA","6","NA","6","6","NA","6","NA","6","6","NA","NA","stim0","125","-123","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","6","6","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","42","NA","NA","NA","959","NA","113","NA","376","42","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","21774","NA","20507","NA","21866","NA","2000","NA","NA","NA","NA","NA","1037","NA","20514","NA","20765","1037","1041","NA","NA","22902","22902","NA","NA","NA","NA","NA","NA","22360","NA","NA","NA","NA","NA","NA","21866","NA","21979","21274","NA","20514","NA","20504","22860","NA","NA","New experiment","7","5651","21","yes","1920","128","-126"
"100","100","257.083333333","257.083333333","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","7","NA","7","NA","7","NA","0","0","1","NA","0","NA","0","NA","7","NA","7","0","0","NA","NA","7","7","NA","NA","NA","NA","NA","NA","7","7","NA","NA","NA","NA","NA","7","NA","7","7","NA","7","NA","7","7","NA","NA","stim0","135","136","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","7","7","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","4","NA","NA","NA","959","NA","137","NA","378","4","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","24341","NA","23006","NA","24433","NA","2000","NA","NA","NA","NA","NA","1037","NA","23013","NA","23338","1037","1041","NA","NA","25462","25462","NA","NA","NA","NA","NA","NA","24957","NA","NA","NA","NA","NA","NA","24433","NA","24570","23841","NA","23013","NA","23003","25457","NA","NA","New experiment","8","6170","24","yes","1920","128","126"
"100","100","248.666666667","248.666666667","black","legacy","legacy","legacy","0","uniform","1","undefined","NA","undefined","NA","undefined","1","NA","1","1","8","NA","8","NA","8","NA","0","0","1","NA","0","NA","0","NA","8","NA","8","0","0","NA","NA","8","8","NA","NA","NA","NA","NA","NA","8","8","NA","NA","NA","NA","NA","8","NA","8","8","NA","8","NA","8","8","NA","NA","stim0","449","-20","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","8","8","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","NA","NA","NA","1","NA","1","NA","1","4","NA","NA","NA","959","NA","116","NA","424","4","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","NA","2000","26917","NA","25588","NA","27028","NA","2000","NA","NA","NA","NA","NA","1037","NA","25597","NA","25912","1037","1041","NA","NA","28078","28078","NA","NA","NA","NA","NA","NA","27573","NA","NA","NA","NA","NA","NA","27028","NA","27144","26417","NA","25597","NA","25585","28073","NA","NA","New experiment","9","6714","27","yes","1920","438","0"
"100","100","243.1","243.1","black","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","undefined","undefined","1","NA","1","1","9","NA","9","NA","9","NA","0","0","1","NA","0","NA","0","0","8","0","8","0","0","NA","0","8","9","NA","NA","NA","NA","NA","0","8","9","NA","NA","NA","0","0","8","0","8","8","0","8","0","8","9","NA","NA","stim0","-715","18","Thu 20 Jun 2019 14:20:12 BST","The main experiment item","yes","NA","pointingTask_closedLoop.osexp","/home/experimenter/git/DMT2019/pointingTask","0","no","mono","no","18","no","white","no","no","1080","legacy","0","8","/home/experimenter/git/DMT2019/pointingTask/subject-2.csv","legacy","Kafkaesque Koffka","3.2.7b1","43.7633665943","0","y","1","NA","NA","1","1","1","1","1","3","259","NA","NA","959","133","116","443","424","3","NA","y","NA","2","legacy","1024","2","48000","-16","experiment","2","even","28398","2000","31369","NA","28438","NA","31462","NA","2000","NA","28139","NA","NA","NA","1037","28445","25597","30363","25912","1037","1041","NA","NA","28078","32549","NA","NA","NA","NA","NA","32045","27573","NA","NA","NA","NA","30869","31462","27028","31595","27144","26417","28445","25597","28435","25585","32545","NA","NA","New experiment","10","7293","30","yes","1920","-740","0"
