"Block","Condition","L1","L2","L3","L4","L5","L6","Letter_duration","accumulated_accuracy","correct_responses","count_correct","count_responses","exp_minutes","exp_seconds","number_responses","posLet1","posLet2","posLet3","posLet4","posLet5","posLet6","response","subject_nr","time_progress"
"0","2","M","A","0","0","0","0","80","1","1","1","1","0","18","1","right","top left","bot right","left","bot left","top right","M","222","0 minutes, 18 seconds"
"0","3","K","H","L","T","O","D","80","0.666666666667","1","2","3","0","23","2","top right","left","right","bot right","bot left","top left","KL","222","0 minutes, 23 seconds"
"0","1","B","R","S","F","A","O","200","0.8","2","4","5","0","29","2","bot left","bot right","right","left","top left","top right","AR","222","0 minutes, 29 seconds"
"0","1","O","Z","R","X","S","J","200","0.888888888889","4","8","9","0","35","4","top left","bot right","top right","left","right","bot left","ROXJ","222","0 minutes, 35 seconds"
"0","2","Z","S","0","0","0","0","80","0.909090909091","2","10","11","0","40","2","top right","left","bot right","top left","right","bot left","SZ","222","0 minutes, 40 seconds"
"0","3","Z","A","N","E","O","G","80","0.916666666667","1","11","12","0","44","1","right","top right","top left","left","bot left","bot right","A","222","0 minutes, 44 seconds"
"0","1","K","X","V","E","M","L","80","0.933333333333","3","14","15","0","50","3","top right","bot right","top left","right","left","bot left","MLK","222","0 minutes, 50 seconds"
"0","3","D","E","F","B","H","G","80","0.882352941176","1","15","17","0","55","2","top right","right","top left","bot right","bot left","left","DG","222","0 minutes, 55 seconds"
"0","1","G","J","Z","L","E","R","50","0.894736842105","2","17","19","0","59","2","top right","right","bot left","top left","bot right","left","RG","222","0 minutes, 59 seconds"
"0","3","G","M","J","F","X","D","80","0.857142857143","1","18","21","1","4","2","bot right","top left","top right","bot left","left","right","JM","222","1 minutes, 4 seconds"
"0","3","R","L","D","S","H","B","80","0.833333333333","2","20","24","1","10","3","top left","top right","bot right","bot left","left","right","RLG","222","1 minutes, 10 seconds"
"0","1","G","N","X","R","S","F","50","0.846153846154","2","22","26","1","14","2","top right","left","bot right","bot left","top left","right","SF","222","1 minutes, 14 seconds"
"0","2","R","P","0","0","0","0","80","0.857142857143","2","24","28","1","19","2","bot left","left","top right","bot right","right","top left","PR","222","1 minutes, 19 seconds"
