"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","catch","clock_backend","color_backend","compensation","coordinates","correct","correct_intro","correct_target_mouse_response","correct_target_mouse_response_1","correct_target_mouse_response_2","count_accuracy_readout","count_beep","count_beep_1","count_beep_2","count_blank","count_blank_1","count_blank_2","count_blank_3","count_catch_trial_disp","count_catch_trial_disp_1","count_detection_accuracy","count_detection_accuracy2","count_detection_accuracy_1","count_detection_accuracy_left","count_elapsedtime","count_elapsedtime_1","count_end_block","count_end_block1","count_end_experiment","count_experiment_scriptL","count_experiment_scriptL_1","count_experiment_scriptR","count_fixation","count_fixation_1","count_fixation_2","count_getting_started","count_global_prep","count_intro","count_left","count_logger","count_logger_1","count_logger_2","count_loop1","count_loop2","count_new_feedback","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_reset_feedback","count_new_sketchpad_1","count_outside_loop","count_outside_sequence","count_pause2","count_pause2_1","count_pause2_2","count_reset_feedback1","count_reset_feedback2","count_right","count_right_accuracy_calc","count_target","count_target_1","count_target_2","count_target_identified","count_target_mouse_response","count_target_mouse_response_1","count_target_mouse_response_2","count_target_prep","count_target_prep_1","count_touch_pad","count_touch_pad2","count_touch_pad2_1","count_touch_pad2_2","count_touch_pad3_1","count_touch_pad_1","count_touch_pad_2","count_touch_release","count_touch_release_1","count_touch_release_2","count_touch_response","count_touch_response_1","count_touch_response_2","count_touch_response_3","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_visual_detection","count_welcome","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","elapsed","empty_column","experiment_file","experiment_path","false_alarm_count","fix_x","fix_x1","fix_x2","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_loop1","logfile","mouse_backend","mouse_release","opensesame_codename","opensesame_version","pix_perDeg","reach_t0","repeat_cycle","response","response_accuracy_readout","response_detection_accuracy2","response_detection_accuracy_1","response_detection_accuracy_left","response_end_block","response_end_block1","response_end_experiment","response_intro","response_new_feedback","response_new_sketchpad_1","response_target_mouse_response","response_target_mouse_response_1","response_target_mouse_response_2","response_time","response_time_accuracy_readout","response_time_detection_accuracy2","response_time_detection_accuracy_1","response_time_detection_accuracy_left","response_time_end_block","response_time_end_block1","response_time_end_experiment","response_time_intro","response_time_new_feedback","response_time_new_sketchpad_1","response_time_target_mouse_response","response_time_target_mouse_response_1","response_time_target_mouse_response_2","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tap_t0","targetSize_pix","target_fileL","target_fileR","target_onset","time_accuracy_readout","time_beep","time_beep_1","time_beep_2","time_blank","time_blank_1","time_blank_2","time_blank_3","time_catch_trial_disp","time_catch_trial_disp_1","time_detection_accuracy","time_detection_accuracy2","time_detection_accuracy_1","time_detection_accuracy_left","time_elapsedtime","time_elapsedtime_1","time_end_block","time_end_block1","time_end_experiment","time_experiment_scriptL","time_experiment_scriptL_1","time_experiment_scriptR","time_fixation","time_fixation_1","time_fixation_2","time_getting_started","time_global_prep","time_intro","time_left","time_logger","time_logger_1","time_logger_2","time_loop1","time_loop2","time_new_feedback","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_reset_feedback","time_new_sketchpad_1","time_outside_loop","time_outside_sequence","time_pause2","time_pause2_1","time_pause2_2","time_reset_feedback1","time_reset_feedback2","time_right","time_right_accuracy_calc","time_tap","time_target","time_target_1","time_target_2","time_target_identified","time_target_mouse_response","time_target_mouse_response_1","time_target_mouse_response_2","time_target_prep","time_target_prep_1","time_touch_offset","time_touch_pad","time_touch_pad2","time_touch_pad2_1","time_touch_pad2_2","time_touch_pad3_1","time_touch_pad_1","time_touch_pad_2","time_touch_release","time_touch_release_1","time_touch_release_2","time_touch_response","time_touch_response_1","time_touch_response_2","time_touch_response_3","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_visual_detection","time_welcome","title","total_correct","total_left_targets_identified","total_response_time","total_responses","total_right_targets_identified","total_targets_identified","touch_x","uniform_coordinates","width","x","y"
"undefined","undefined","undefined","undefined","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","NA","0","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","0","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","0","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","NA","undefined","-359","1","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","339397.810936","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","yes","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","16047.2509861","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","357580.468893","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","600","NA","NA","NA","NA","18205.3809166","NA","NA","NA","NA","NA","NA","NA","NA","NA","357580.507994","NA","NA","NA","NA","18203.2718658","NA","NA","18207.4267864","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","357782.741785","NA","NA","18157.1068764","NA","NA","18209.6920013","NA","NA","NA","NA","NA","NA","357582.590818","NA","NA","NA","NA","NA","NA","NA","357131.656885","NA","NA","NA","NA","NA","NA","357128.045797","NA","NA","18209.5618248","356527.318001","NA","NA","NA","NA","NA","357132.540941","NA","NA","NA","NA","NA","NA","18203.1028271","NA","NA","2100.44980049","NA","New experiment","0","0","0","0","0","0","868","yes","1920","-728","-200"
"undefined","undefined","undefined","undefined","black","psycho","1","psycho","psycho","0","uniform","undefined","undefined","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","NA","NA","NA","0","0","0","1","NA","NA","0","0","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","0","0","0","NA","1","NA","NA","NA","1","NA","NA","1","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA","0","NA","undefined","-359","1","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","3115.62395096","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","1","1","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","16047.2509861","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","357580.468893","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","350","NA","361007.328987","NA","NA","357912.539005","NA","NA","NA","359005.200863","NA","NA","NA","NA","NA","361007.267952","NA","NA","NA","NA","357910.725832","NA","NA","357918.092966","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","361323.275805","NA","NA","18157.1068764","NA","NA","357934.239864","NA","NA","NA","NA","NA","NA","361123.058796","NA","NA","NA","NA","NA","NA","NA","357131.656885","NA","NA","NA","NA","NA","NA","359003.323793","NA","NA","357934.148788","358652.8759","NA","NA","NA","NA","NA","357132.540941","NA","NA","NA","NA","NA","NA","357910.640955","NA","NA","2100.44980049","NA","New experiment","0","0","0","0","0","0","868","yes","1920","-128","-126"
"undefined","undefined","2110.46504974","2110.46504974","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","NA","NA","NA","0","0","0","2","NA","NA","0","0","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","0","0","0","NA","2","NA","NA","NA","2","NA","NA","2","NA","2","2","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA","2","NA","NA","0","NA","","898","76","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","2474.0998745","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","2","2","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","2110.46504974","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","2110.46504974","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","363881.727934","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","600","NA","366021.940947","NA","NA","361429.617882","NA","NA","NA","359005.200863","NA","NA","NA","NA","NA","363881.762981","NA","NA","NA","NA","361427.477837","NA","NA","361431.838989","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","366326.038837","NA","NA","18157.1068764","NA","NA","361434.849977","NA","NA","NA","NA","NA","NA","366125.838995","NA","NA","NA","NA","NA","NA","2140.13791084","363337.614775","NA","NA","NA","363881.89292","NA","NA","363335.217953","NA","NA","361434.740782","362734.483004","NA","NA","NA","NA","NA","363337.744951","NA","NA","366021.644831","NA","NA","NA","361427.295923","NA","NA","2100.44980049","NA","New experiment","0","1","2110.46504974","1","0","1","868","yes","1920","-438","0"
"undefined","undefined","2110.46504974","2110.46504974","black","psycho","1","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","3","NA","NA","3","NA","NA","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","NA","NA","NA","0","0","0","3","NA","NA","0","0","NA","3","NA","NA","NA","NA","NA","NA","3","NA","NA","0","0","0","NA","3","NA","NA","NA","3","NA","NA","3","NA","3","3","NA","NA","NA","NA","NA","3","NA","NA","3","NA","NA","NA","3","NA","NA","0","NA","","898","76","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","3565.79995155","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","3","3","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","2110.46504974","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","2110.46504974","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","363881.727934","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","250","NA","370033.41198","NA","NA","366488.845825","NA","NA","NA","368031.294823","NA","NA","NA","NA","NA","370033.352852","NA","NA","NA","NA","366486.63497","NA","NA","366494.786978","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","370331.904888","NA","NA","18157.1068764","NA","NA","366512.187004","NA","NA","NA","NA","NA","NA","370131.742001","NA","NA","NA","NA","NA","NA","2140.13791084","363337.614775","NA","NA","NA","363881.89292","NA","NA","368029.478788","NA","NA","366511.396885","367779.177904","NA","NA","NA","NA","NA","363337.744951","NA","NA","366021.644831","NA","NA","NA","366486.490965","NA","NA","2100.44980049","NA","New experiment","0","1","2110.46504974","1","0","1","868","yes","1920","-728","-200"
"undefined","undefined","2110.46504974","2110.46504974","black","psycho","1","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","4","NA","NA","4","NA","NA","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","0","4","NA","NA","4","NA","NA","NA","0","0","0","4","NA","NA","0","0","NA","4","NA","NA","NA","NA","NA","NA","4","NA","NA","0","0","0","NA","4","NA","NA","NA","4","NA","NA","4","NA","4","4","NA","NA","NA","NA","NA","4","NA","NA","4","NA","NA","NA","4","NA","NA","0","NA","","898","76","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","4579.95676994","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","4","4","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","2110.46504974","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","2110.46504974","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","363881.727934","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","350","NA","375006.342888","NA","NA","370447.806835","NA","NA","NA","373004.094839","NA","NA","NA","NA","NA","375006.274939","NA","NA","NA","NA","370446.066856","NA","NA","370449.962854","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","375304.595947","NA","NA","18157.1068764","NA","NA","370452.528954","NA","NA","NA","NA","NA","NA","375104.451895","NA","NA","NA","NA","NA","NA","2140.13791084","363337.614775","NA","NA","NA","363881.89292","NA","NA","373001.550913","NA","NA","370452.385902","372651.199818","NA","NA","NA","NA","NA","363337.744951","NA","NA","366021.644831","NA","NA","NA","370445.976973","NA","NA","2100.44980049","NA","New experiment","0","1","2110.46504974","1","0","1","868","yes","1920","-438","0"
"undefined","undefined","2516.22903347","2516.22903347","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","5","NA","NA","5","NA","NA","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","0","5","NA","NA","5","NA","NA","NA","0","0","0","5","NA","NA","0","0","NA","5","NA","NA","NA","NA","NA","NA","5","NA","NA","0","0","0","NA","5","NA","NA","NA","5","NA","NA","5","NA","5","5","NA","NA","NA","NA","NA","5","NA","NA","5","NA","NA","NA","5","NA","NA","0","NA","","876","64","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","2393.06497574","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","5","5","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","2921.9930172","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","2921.9930172","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","377838.096857","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","250","NA","380760.995865","NA","NA","375466.713905","NA","NA","NA","373004.094839","NA","NA","NA","NA","NA","377838.133812","NA","NA","NA","NA","375464.481831","NA","NA","375471.638918","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","381077.472925","NA","NA","18157.1068764","NA","NA","375487.293005","NA","NA","NA","NA","NA","NA","380877.258778","NA","NA","NA","NA","NA","NA","2922.84798622","377152.442932","NA","NA","NA","377838.258982","NA","NA","377149.942875","NA","NA","375487.126827","376898.986816","NA","NA","NA","NA","NA","377152.589798","NA","NA","380760.890007","NA","NA","NA","375464.396954","NA","NA","2100.44980049","NA","New experiment","0","2","5032.45806694","2","0","2","868","yes","1920","-136","0"
"undefined","undefined","2516.22903347","2516.22903347","black","psycho","1","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","6","NA","NA","6","NA","NA","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","0","6","NA","NA","6","NA","NA","NA","0","0","0","6","NA","NA","0","0","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","0","0","0","NA","6","NA","NA","NA","6","NA","NA","6","NA","6","6","NA","NA","NA","NA","NA","6","NA","NA","6","NA","NA","NA","6","NA","NA","0","NA","","876","64","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","4299.35097694","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","6","6","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","2921.9930172","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","2921.9930172","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","377838.096857","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","400","NA","385511.993885","NA","NA","381234.169006","NA","NA","NA","383509.693861","NA","NA","NA","NA","NA","385511.935949","NA","NA","NA","NA","381232.193947","NA","NA","381236.445904","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","385817.758799","NA","NA","18157.1068764","NA","NA","381239.449978","NA","NA","NA","NA","NA","NA","385617.616892","NA","NA","NA","NA","NA","NA","2922.84798622","377152.442932","NA","NA","NA","377838.258982","NA","NA","383507.224798","NA","NA","381239.346981","383106.820822","NA","NA","NA","NA","NA","377152.589798","NA","NA","380760.890007","NA","NA","NA","381232.112885","NA","NA","2100.44980049","NA","New experiment","0","2","5032.45806694","2","0","2","868","yes","1920","-136","0"
"undefined","undefined","2313.09366226","2313.09366226","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","7","NA","NA","7","NA","NA","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","0","7","NA","NA","7","NA","NA","NA","0","0","0","7","NA","NA","0","0","NA","7","NA","NA","NA","NA","NA","NA","7","NA","NA","0","0","0","NA","7","NA","NA","NA","7","NA","NA","7","NA","7","7","NA","NA","NA","NA","NA","7","NA","NA","7","NA","NA","NA","7","NA","NA","0","NA","","894","78","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","889.895915985","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","7","7","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","1906.82291985","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","1906.82291985","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","386849.465847","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","550","NA","388757.214785","NA","NA","385980.913877","NA","NA","NA","383509.693861","NA","NA","NA","NA","NA","386849.502802","NA","NA","NA","NA","385978.961945","NA","NA","385983.312845","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","389056.355","NA","NA","18157.1068764","NA","NA","385985.796928","NA","NA","NA","NA","NA","NA","388855.79586","NA","NA","NA","NA","NA","NA","1907.67502785","386729.870796","NA","NA","NA","386849.629879","NA","NA","386727.427959","NA","NA","385985.713005","386176.795959","NA","NA","NA","NA","NA","386730.066776","NA","NA","388757.081985","NA","NA","NA","385978.796005","NA","NA","2100.44980049","NA","New experiment","0","3","6939.28098679","3","0","3","868","yes","1920","-428","-163"
"undefined","undefined","1923.29275608","1923.29275608","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","8","NA","NA","8","NA","NA","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","0","8","NA","NA","8","NA","NA","NA","0","0","0","8","NA","NA","0","0","NA","8","NA","NA","NA","NA","NA","NA","8","NA","NA","0","0","0","NA","8","NA","NA","NA","8","NA","NA","8","NA","8","8","NA","NA","NA","NA","NA","8","NA","NA","8","NA","NA","NA","8","NA","NA","0","NA","","878","74","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","2090.25502205","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","8","8","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","753.890037537","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","753.890037537","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","391235.196829","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","600","NA","391989.970922","NA","NA","389166.182995","NA","NA","NA","383509.693861","NA","NA","NA","NA","NA","391235.234976","NA","NA","NA","NA","389164.217949","NA","NA","389168.308973","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","392292.296886","NA","NA","18157.1068764","NA","NA","389170.816898","NA","NA","NA","NA","NA","NA","392092.16094","NA","NA","NA","NA","NA","NA","754.723072052","390652.068853","NA","NA","NA","391235.360861","NA","NA","390649.946928","NA","NA","389170.661926","390049.353838","NA","NA","NA","NA","NA","390652.252913","NA","NA","391989.861965","NA","NA","NA","389164.120913","NA","NA","2100.44980049","NA","New experiment","0","4","7693.17102432","4","0","4","868","yes","1920","-128","126"
"undefined","undefined","1589.37520981","1589.37520981","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","9","NA","NA","9","NA","NA","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","0","9","NA","NA","9","NA","NA","NA","0","0","0","9","NA","NA","0","0","NA","9","NA","NA","NA","NA","NA","NA","9","NA","NA","0","0","0","NA","9","NA","NA","NA","9","NA","NA","9","NA","9","9","NA","NA","NA","NA","NA","9","NA","NA","9","NA","NA","NA","9","NA","NA","0","NA","","898","85","Thu 18 Jul 2019 13:02:19 BST","The main experiment item","yes","1980.61108589","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","9","9","/home/experimenter/git/DMT2019/visualDetectionTask/subject-1.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","253.705024719","NA","NA","NA","NA","NA","NA","NA","16047.2509861","NA","NA","253.705024719","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","1","odd","394357.040882","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","600","NA","394611.626863","NA","NA","392399.836779","NA","NA","NA","383509.693861","NA","NA","NA","NA","NA","394357.078791","NA","NA","NA","NA","392397.484779","NA","NA","392402.078867","NA","NA","NA","2100.91090202","2109.33589935","18157.0298672","394921.040773","NA","NA","18157.1068764","NA","NA","392407.727957","NA","NA","NA","NA","NA","NA","394720.873833","NA","NA","NA","NA","NA","NA","254.535913467","393868.858814","NA","NA","NA","394357.205868","NA","NA","393866.330862","NA","NA","392407.604933","393265.622854","NA","NA","NA","NA","NA","393869.675875","NA","NA","394611.523867","NA","NA","NA","392397.373915","NA","NA","2100.44980049","NA","New experiment","0","5","7946.87604904","5","0","5","868","yes","1920","-728","200"
